actor,nationality
Ruth Gordon,United States
Lon Chaney,United States
Joan Crawford,United States
Norman Kerry,United States
Chris Sarandon,United States
Catherine O'Hara,Canada
Katsuo Nakamura,Japan
Nobuko Otowa,Japan
Jitsuko Yoshimura,Japan
Kei Sato,Japan
Deborah Kerr,United Kingdom
Peter Wyngarde,France
Megs Jenkins,United Kingdom
Linda Blair,United States
Max von Sydow,Sweden
Ellen Burstyn,United States
Haley Joel Osment,United States
Bruce Willis,United States
Gary Oldman,United Kingdom
Winona Ryder,United States
Arturo de Córdova,Mexico
Amparo Rivelles,Spain
Elda Peralta,Mexico
Gene Wilder,United States
Peter Boyle,United States
Marty Feldman,United Kingdom
Nicole Kidman,United States
Fionnula Flanagan,Ireland
Christopher Eccleston,United Kingdom
Boris Karloff,United Kingdom
Colin Clive,France
Mae Clarke,United States
Kathy Bates,United States
Frances Sternhagen,United States
Fredric March,United States
Miriam Hopkins,United States
Rose Hobart,United States
Roman Polanski,Poland
Isabelle Adjani,France
Melvyn Douglas,United States
Catherine Deneuve,France
Ian Hendry,United Kingdom
Patrick Wymark,United Kingdom
Pierre Brasseur,France
Alida Valli,Croatia
Juliette Mayniel,France
